Date,Open,High,Low,Close,Adj Close,Volume,,Day Diff
5/6/2016,268.600006,268.600006,264.899994,265.399994,224.72496,3517836,,
5/9/2016,267.5,274,267,272.700012,230.906174,3509696,,3
5/10/2016,275,275,269.399994,270.100006,228.704651,2748770,,1
5/11/2016,271.799988,272.5,265,265.5,224.809631,3113613,,1
5/12/2016,265,266.799988,261.799988,262.399994,222.184738,3221777,,1
5/13/2016,262,265,260.100006,265,224.386276,4153095,,1
5/16/2016,260.799988,265.899994,260,265.700012,224.978989,2864424,,3
5/17/2016,266,268.799988,260.700012,261.5,221.422684,3078732,,1
5/18/2016,261.5,264.700012,260.399994,264.700012,224.132248,3211206,,1
5/19/2016,262.799988,262.799988,255.399994,255.800003,216.596237,5397685,,1
5/20/2016,257,259.200012,256.399994,257.600006,218.120377,3101022,,1
5/23/2016,258,258.399994,253.5,254,215.072128,3151260,,3
5/24/2016,253.600006,258.399994,252,257.899994,218.374405,4145221,,1
5/25/2016,259.899994,260,254.399994,255,215.918869,2941376,,1
5/26/2016,255,258.299988,254.699997,257.399994,217.95105,2865758,,1
5/27/2016,256.600006,258.899994,256.100006,258.700012,219.051819,2471597,,1
5/30/2016,259,261,257,261,220.999298,1666730,,3
5/31/2016,261.200012,261.899994,255.399994,256,216.76561,3793655,,1
6/1/2016,254.899994,255.199997,250.800003,251.699997,213.124619,2864312,,1
6/2/2016,251.699997,252.600006,249.5,252.199997,213.547989,2666131,,1
6/3/2016,253.5,257,250.600006,253.199997,214.394714,3492322,,1
6/7/2016,255.199997,257,254.899994,256.5,217.188965,2170466,,4
6/8/2016,256.5,256.700012,254.199997,255,215.918869,1866831,,1
6/9/2016,255.300003,255.399994,251.199997,251.199997,212.701248,3282195,,1
6/10/2016,250.300003,251.899994,246.300003,246.699997,208.8909,2898217,,1
6/13/2016,243.899994,245.300003,242.600006,243.800003,206.435349,3092795,,3
6/14/2016,242,243.800003,238.5,242.199997,205.080566,4656331,,1
6/15/2016,243.300003,248.300003,243.199997,247.800003,209.822327,4813535,,1
6/16/2016,244.800003,244.800003,239,239.699997,202.96373,4328068,,1
6/17/2016,241.399994,244.800003,240.199997,244.600006,207.112762,5776566,,1
6/20/2016,249.199997,252.899994,248.399994,252.800003,214.05603,3354786,,3
6/21/2016,252.600006,252.600006,247.300003,250.600006,212.193207,4616078,,1
6/22/2016,253.399994,256.5,246.199997,253.600006,214.733444,5116136,,1
6/23/2016,253,258.100006,252.199997,256.700012,217.358337,4799228,,1
6/27/2016,235,241.699997,234.5,236.600006,200.338837,10010968,,4
6/28/2016,242,243.100006,239.399994,242,204.91124,4340543,,1
6/29/2016,244.899994,246.5,242.199997,246.100006,208.382874,3153420,,1
6/30/2016,246.100006,247.300003,243.199997,246.5,208.721558,3365179,,1
7/1/2016,248.5,252.300003,247.300003,252,213.378647,2667452,,1
7/4/2016,254,254.899994,250.300003,250.800003,212.362549,1762464,,3
7/5/2016,249.399994,250.399994,247.300003,249,210.838425,2408774,,1
7/6/2016,248,250,242.899994,245,207.451431,2746293,,1
7/7/2016,246.800003,250.600006,246.699997,248.600006,210.499725,1832270,,1
7/8/2016,248.199997,254,247.600006,252.899994,214.140701,2210065,,1
7/11/2016,253.699997,259.399994,253.100006,258.799988,219.136459,2542012,,3
7/12/2016,258.799988,259.200012,256.5,258.200012,218.628433,2276178,,1
7/13/2016,258.200012,262.200012,257.299988,260,220.152542,2076845,,1
7/14/2016,260.299988,262.299988,258.100006,258.100006,218.543747,2481156,,1
7/15/2016,258,261.899994,257,260.399994,220.491257,3210140,,1
7/18/2016,260.399994,262.5,258.100006,260,220.152542,2249294,,3
7/19/2016,259.799988,261,258.799988,260.399994,220.491257,1488025,,1
7/20/2016,261.100006,264,260.399994,264,223.539505,2281155,,1
7/21/2016,264.700012,265,260.799988,261.700012,221.592026,1842899,,1
7/22/2016,261.5,261.899994,257.799988,258.700012,219.051819,1817966,,1
7/25/2016,259.5,262,258.899994,259,219.305832,1580836,,3
7/26/2016,260.100006,260.600006,253.699997,257.5,218.035706,2152016,,1
7/27/2016,259.299988,260.100006,256.5,256.799988,217.442993,1474497,,1
7/28/2016,257,259.200012,255.699997,255.699997,216.511581,1383895,,1
7/29/2016,256.399994,259.200012,256,258.5,218.882462,1426352,,1
8/1/2016,259.700012,260.299988,255.600006,256.600006,217.273651,1722463,,3
8/2/2016,256.700012,256.700012,251.300003,251.300003,212.785904,1947201,,1
8/3/2016,251.300003,251.899994,248.5,248.800003,210.669083,1585115,,1
8/4/2016,250.100006,250.5,248.100006,249.5,211.261795,1759920,,1
8/5/2016,252.199997,256.100006,250.800003,255.300003,216.172897,2035889,,1
8/8/2016,256.200012,257,255.100006,255.699997,216.511581,1325993,,3
8/9/2016,255.100006,262.799988,255.100006,262.700012,222.438766,2508112,,1
8/10/2016,261,265.5,259.399994,263.200012,222.862152,2394071,,1
8/11/2016,264.200012,273.200012,263.299988,272.899994,231.0755,3650737,,1
8/12/2016,272.899994,273.799988,271.399994,271.600006,229.974762,2342075,,1
8/15/2016,275.399994,279.899994,275.200012,277.399994,234.885834,3786215,,3
8/16/2016,277.5,277.5,272.700012,273.200012,231.329559,2658162,,1
8/17/2016,273.5,274.700012,266.200012,267.399994,226.418457,2764644,,1
8/18/2016,269,271.299988,268.399994,270.399994,228.958649,1498652,,1
8/19/2016,270.700012,271.5,267.399994,269.700012,228.365967,2317977,,1
8/22/2016,269.899994,271.700012,267.5,268.100006,227.011154,1729145,,3
8/23/2016,269.399994,272.5,268.600006,271.600006,229.974762,1805636,,1
8/24/2016,271,271.5,269,270.5,229.043335,3300349,,1
8/25/2016,269.700012,270.600006,268.5,268.5,227.349869,1268086,,1
